店铺,SKU,品名,ASIN,当前可用,在途,日均需求参考(件/天),9/26下周海运是否带应急量,判断说明,在途晚到7天时残余缺口,09/26(仅现货),10/03(仅现货),10/10,10/17,10/24,10/31,11/07,11/14,11/21,11/28,12/05,12/12,12/19,12/26,01/02,01/09,01/16(春节前末班),春节前合计,2/27节后首班参考(须节前备好),春节前采购金额参考(元),春节前净重参考(kg),备注(利润红旗按正常量算)
LPH,DF-GPNPCB,Gra收纳包,B0G2BR58FK,990,442,9月13.0 / 11月14.3 / 12月14.9 / 1月11.0 / 3月11.7,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,60,50,70,80,100,70,70,70,80,150,150,150,150,140,140,1530,590,30799,765.0,40件/箱；感恩节圣诞带娃出行小幅抬升，1月回落
LPH,DF-PPFFR-SET,12+6Pcs Premier黑白过滤套装,B0GYFDQ2CG,5,1008,9月8.0 / 11月10.0 / 12月10.0 / 1月11.5 / 3月11.0,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带；09/19–09/27(9天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货,09/19–10/04(16天),,,40,50,50,50,50,60,60,70,70,130,130,130,130,130,120,1270,440,29820,114.3,84件/箱；断货中，在途9/28起回货；1月宿主换滤芯季走热
LPH,DF-PPFFR-24FOAM,18Pcs Premier过滤海绵,B0GYF5YXXG,5,218,9月2.0 / 11月2.0 / 12月2.0 / 1月2.2 / 3月2.2,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带；09/21–09/28(8天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货,09/21–10/05(15天),,,,,,,,20,20,20,20,30,30,30,30,20,20,240,90,,79.9,【利润红旗，本次按正常量算】断货中；利润表无采购成本
LPH,DF-PPFFR,12Pcs Premier过滤片,B0GYF7WK58,11,630,9月8.0 / 11月10.0 / 12月10.0 / 1月11.5 / 3月11.0,无必要(10/3可选),正常与悲观时效下都不断货，只是 11 月中旬会短暂低于 15 天安全线：9/26 不用带，10/3 带 60 件（有现货再带，没有不必强凑）；09/20–09/28(9天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货；若无现货、改从 10/10 起发：正常时效不断货，悲观时效不断货,09/20–10/05(16天),,60,120,80,80,80,80,80,80,80,80,140,140,140,140,130,130,1640,440,36080,246.0,9/14起断货，9/29回货；供应商1800片/箱按箱下单
LPH,DF-LUGGAGEWHEELS,轮子替换套装Samsonite,B0GGQRSCM1,62,300,9月2.5 / 11月2.0 / 12月1.8 / 1月2.5 / 3月3.0,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,,,,,,,,,,40,40,40,40,40,30,230,140,5430,90.4,Q4淡季，春季旺
LPH,DF-MixBterClassic,2PCS尖头搅拌器Sunbeam,B0GGHCPDV3,58,162,9月2.0 / 11月3.0 / 12月3.0 / 1月1.8 / 3月1.8,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,40,30,20,20,20,,,,20,30,30,20,20,20,20,290,80,5945,72.5,烘焙季11-12月×1.5
LPH,DF-MixBterNotch,2PCS平头搅拌器Sunbeam,B0GGHJCFHB,38,74,9月1.7 / 11月2.5 / 12月2.5 / 1月1.5 / 3月1.5,建议带(保险),正常时效下 10/29 落地后不断货，但在途一晚到就会跌破安全线：有现货则 9/26 带 100 件、10/3 再带 30 件；若无现货、改从 10/10 起发：正常时效不断货，悲观时效断货 11/14–11/26(13天),无,100,30,20,,,,20,,20,,20,,30,20,20,20,20,320,70,6560,80.0,11月中旬断货风险，A批走自仓现货
LPH,DF- RWSUP,4pcs手柄绳(Quest 3),B0GCCRNMHK,205,600,9月10.0 / 11月16.0 / 12月25.0 / 1月20.0 / 3月14.0,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,650,210,130,120,110,220,180,90,80,160,160,160,150,150,150,2720,430,50320,27.2,【利润红旗，本次按正常量算】宿主Quest圣诞后两周热度8倍，峰值12/21-1/15；利润表头程12.24元/件疑录入错误
LPH,DF-PHFR12,12pcs过滤器momcozy,B0G91V37GH,106,780,9月8.8 / 11月12.1 / 12月13.2 / 1月15.4 / 3月14.3,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,250,160,100,90,100,100,110,100,100,180,180,180,170,170,170,2160,520,141048,410.4,断货中；宿主黑五冲高、滤芯需求滞后1-2月；单件65元资金占用最大
LPH,DF-SaladB2,2pcs沙拉罐收纳袋,B0G8XXCJ2X,192,120,9月5.0 / 11月5.0 / 12月5.5 / 1月7.0 / 3月6.0,建议带(保险),正常时效下 10/29 落地后不断货，但在途一晚到就会跌破安全线：有现货则 9/26 带 140 件、10/3 再带 50 件；若无现货、改从 10/10 起发：正常时效不断货，悲观时效断货 11/15–11/26(8天),无,140,50,50,50,40,40,50,50,50,40,40,70,70,70,70,70,70,1020,200,13158,351.9,去年配件峰值在今年2月
LPH,DF-SaladB,1PCS沙拉罐收纳袋,B0FWC7WNCB,501,0,9月4.8 / 11月4.8 / 12月5.3 / 1月6.7 / 3月5.8,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,40,40,40,40,40,50,40,40,40,70,70,70,70,70,60,780,190,6006,110.0,【利润红旗，本次按正常量算】现价5.99低于利润表7.99（当时净利0.17），先核价
LPH,DF-WBRTAKE2,3PCS吸管盖(Hydro Flask),B0G57JYVXN,136,375,9月6.0 / 11月5.1 / 12月4.2 / 1月5.1 / 3月5.4,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,30,40,30,30,40,40,40,30,40,70,70,70,70,70,60,730,300,12016,153.3,冬季转淡
LPH,DF-KKChange,6PcsKee垫,B0G2BL89SH,105,786,9月13.0 / 11月13.7 / 12月12.3 / 1月14.9 / 3月16.2,建议带(保险),正常时效下 10/29 落地后不断货，但在途一晚到就会跌破安全线：有现货则 9/26 带 230 件、10/3 再带 160 件；若无现货、改从 10/10 起发：正常时效不断货，悲观时效断货 11/26–11/26(1天),10/13–10/13(1天),230,160,90,90,90,90,100,100,100,100,110,210,210,210,210,200,200,2500,760,97550,1325.0,24件/箱；营收第一且连续8个月增长；可用仅够8天
LPH,DF-ButterHold,400Pcs黄油纸套装,B0FZSY68B2,107,100,9月2.0 / 11月3.6 / 12月4.0 / 1月2.0 / 3月2.0,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,130,50,20,,,,,,20,30,30,30,30,20,20,380,90,11058,399.0,1kg/件重货；节日烘焙季×2
LPH,DF-BWBMR,10PcsB硅胶嘴(Brita),B0FY2WZLGG,401,480,9月10.0 / 11月9.5 / 12月9.5 / 1月12.0 / 3月10.5,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,90,80,80,80,80,80,80,80,80,140,140,140,130,130,130,1540,440,25410,223.3,稳定消耗品，1月新年饮水热
LPH,DF-KeyBottle,12Pcs洗手液套装,B0FWKCXWY6,141,224,9月5.0 / 11月4.5 / 12月5.0 / 1月4.5 / 3月4.8,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,130,50,40,30,30,30,30,30,30,60,60,60,50,50,50,730,230,29083,241.6,【利润红旗，本次按正常量算】42件/箱；利润表净利-0.62，先核价
LPH,每周合计件数,,,,,,,,,470,300,1740,980,790,750,820,900,880,750,830,1510,1540,1520,1480,1430,1390,18080,5010,500283,4689.8,单周件数=该周六交凯琦的总件数
