店铺,ASIN,FNSKU,商品标题,中文标题,产品中文名,销量,销售额,订单数,日均销量,Vine赠品销量(已扣除),可售,入库中,不可售,预留,FBA总量,包装尺寸1(长×宽×高cm),包装尺寸2(长×宽×高cm),包装类型1,包装类型2,包装成本1(CNY),包装成本2(CNY),包装备注1,包装备注2,外箱尺寸1(长×宽×高cm),外箱尺寸2(长×宽×高cm),外箱最大装箱数1,外箱最大装箱数2,单品重量(g),图片URL,产品图片1,产品图片2,销售数据截止,库存数据截止
TZH-主店二号,B0FG2XQ7G3,X004QS94MD,Hard Protective Case for Ray-Ban Meta Smart Glasses – Compatible with Wayfarer/Skyler/Headliner & Charging Box – Durable Travel Eyewear Case with Soft Interior & Wrist Strap (Black),雷朋 Meta 智能眼镜硬质保护盒 – 兼容 Wayfarer/Skyler/Headliner 款式及充电盒 – 耐用旅行眼镜盒，内衬柔软，配有腕带（黑色）,雷朋眼镜盒保护盒,0,0.00,0,0.00,0,0,0,0,3,3,,,,,,,,,,,,,150,https://m.media-amazon.com/images/I/41fJzzX5QOL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0FL2BPTB5,X004SD22LB,"6 Pack Doll Stand Holder Compatible with 6.8 Inch Dolls, Not Include Dolls",6个装娃娃支架，兼容6.8英寸娃娃，不含娃娃,TZH-6PCS玩偶支架,109,830.96,106,3.63,0,176,0,0,6,182,10×7.5×7,,,,0.5,,刘师傅 特种牛卡 扣底盒,,50×45×40,,90,,140,https://m.media-amazon.com/images/I/319FFwQ9yTL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0FL2CZBH4,X004SDDFTJ,"12 Pack Doll Stand Holder Compatible with 6.8 Inch Dolls, Not Include Dolls",12个装娃娃支架，兼容6.8英寸娃娃，不含娃娃,TZH-12PCS玩偶支架,475,6053.34,398,15.83,0,537,450,0,39,1026,14×7.5×7,,,,0.75,,刘师傅 特种牛卡 扣底盒,,50×40×45,,90,,188.6,https://m.media-amazon.com/images/I/319FFwQ9yTL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0FPR3XSX2,X004TR4Z1V,"6 Pack Universal Two-Way Radio Holster with Adjustable Shoulder Holster Strap, Heavy Duty Walkie Talkie Pouch for Security, Outdoor Hiking, Firefighter & Construction, Hands-Free Radio Holder Case",6 件装通用双向无线电对讲机套，带可调节肩带，重型对讲机袋，适用于安保、户外徒步、消防和建筑工地，免提无线电对讲机收纳包,6Pcs无线电收纳,0,0.00,0,0.00,0,0,0,0,0,0,23×15×9,,,,1.68,,蓝象牛皮https://item.taobao.com/item.htm?id=669176211019&mi_id=0000Cq-vEypmmpo4YhNtmAAm6QOxGlWncsf6Velau9iEHdU&spm=a21xtw.29178619.0.0&xxc=shop&skuId=5071526367703,,50×35×45,,16,,400,https://m.media-amazon.com/images/I/41HUbKSVZkL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0FQNYHWP1,X004U1XJ1X,JUMRIM 6 Pack Kpop Lightstick Stand Holder,JUMRIM 6 件装 Kpop 应援棒支架,6PcsKpop支架,85,829.17,80,2.83,0,134,200,0,3,337,13×8×6,,飞机盒,,0.67,,"蓝象牛皮
https://item.taobao.com/item.htm?id=668517869529&mi_id=0000Vfc3reX3N6SotHz2am8NGEaC0En5KCG92mHxPStuE8w&skuId=5068032983297&spm=tbpc.boughtlist.suborder_itemtitle.1.5fad2e8dU8ZiSE",,,,,,120,https://m.media-amazon.com/images/I/31emn58XspL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0FRG9XKP8,X004UBMFGX,"JUMRIM Racing Throttle Handle with Rolling Bearing, Black PA Material, Electric Bike Throttle Grips with Cable for Sur Ron Light Bee X, S, X160, X260",JUMRIM 赛车级油门把手，带滚动轴承，黑色 PA 材质，电动自行车油门手柄，带线缆，适用于 Sur Ron Light Bee X、S、X160、X260,S油门把手,0,0.00,0,0.00,0,1,0,0,1,2,17×9×7,,,,1.12,,蓝象黄https://item.taobao.com/item.htm?id=669212123535&mi_id=0000J-eDpa7AR42N25pZ6UJwu_vAmt1Pec7k-2dqG6mxh7M&spm=tbpc.boughtlist.suborder_itemtitle.1.60c82e8d23jXep&skuId=4983857782857,,,,,,240,https://m.media-amazon.com/images/I/41RCYgYyKgL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GTPYQY5Z,X0051PSIEF,"Trnjctayr 2 Pack Nylon Strap Bands Compatible with Hume Band, Adjustable Braided Replacement Strap for Hume Health Tracker, Breathable Sport Loop Wristbands for Men Women",Trnjctayr 2条装尼龙表带，兼容Hume手环，可调节编织替换表带，适用于Hume健康追踪器，透气运动腕带，男女通用,,1,3.99,1,0.03,0,1,0,0,0,1,8×18×0.5,,,,0.06,,8*18cm（内空间7*15cm）,,,,,,10,https://m.media-amazon.com/images/I/512OUzE4OzL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVWD8KR9,X00528GGEZ,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Purple),适用于 Ninja BlendBOSS 奶昔搅拌杯的硅胶防漏替换套装 | 三合一保护套、吸管塞和防漏盖密封圈，适用于 26 盎司旅行杯（紫色）,,1,5.99,1,0.03,0,1,0,0,2,3,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,67,https://m.media-amazon.com/images/I/31saJr94ghL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVWF66T8,X00528QE65,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Pink),适用于 Ninja BlendBOSS 奶昔搅拌杯的硅胶防漏替换套装 | 三合一保护套、吸管塞和防漏盖密封圈，适用于 26 盎司旅行杯（粉色）,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,67,https://m.media-amazon.com/images/I/31VTdtKL-VL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVWKW4Y1,X00528NAWV,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Green),适用于 Ninja BlendBOSS 奶昔搅拌杯的硅胶防漏替换套装 | 三合一保护套、吸管塞和防漏盖密封圈，适用于 26 盎司旅行杯（绿色）,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,67,https://m.media-amazon.com/images/I/31XXnhgwLfL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVWPCJRW,X00528NGCP,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Stone Grey),适用于 Ninja BlendBOSS 搅拌机杯的硅胶防漏替换套装 | 三合一保护套、吸管塞和防漏盖密封圈，适用于 26 盎司旅行杯（石灰色）,,0,0.00,0,0.00,0,2,0,0,1,3,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,67,https://m.media-amazon.com/images/I/31w3IV3V8jL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
TZH-主店二号,B0GVWQK5BT,X00528HXQZ,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Sky Blue),适用于 Ninja BlendBOSS 搅拌机杯的硅胶防漏替换套装 | 三合一保护套、吸管塞和防漏盖密封圈，适用于 26 盎司旅行杯（天蓝色）,,0,0.00,0,0.00,0,0,0,0,0,0,15×8×1.7,28×7×1.8,,,0,0,"3个装
3+3装","吸管自带
1个装：84g
2个装：120g",,,,,67,https://m.media-amazon.com/images/I/31xGVXFGllL.jpg,,,2026-08-22,2026-08-23T12:00:01.869Z
