店铺,SKU,品名,ASIN,当前可用,在途,日均需求参考(件/天),9/26下周海运是否带应急量,判断说明,在途晚到7天时残余缺口,09/26(仅现货),10/03(仅现货),10/10,10/17,10/24,10/31,11/07,11/14,11/21,11/28,12/05,12/12,12/19,12/26,01/02,01/09,01/16(春节前末班),春节前合计,2/27节后首班参考(须节前备好),春节前采购金额参考(元),春节前净重参考(kg),备注(利润红旗按正常量算)
TZH,TR-AM9-2L,2LAM9内胆(Aroma 2Qt),B0HCZT8BMB,33,160,9月6.0 / 11月7.2 / 12月7.5 / 1月8.1 / 3月7.2,有必要,正常时效下 10/29–11/11(6天) 仍会断货（缺约 33 件），只有 9/26 这班海运赶得上：建议 9/26 带 220 件、10/3 再带 90 件（悲观时效+15天安全线口径；若只按正常时效补缺口，最少 40 件）；09/24–10/13(20天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货；若无现货、改从 10/10 起发：正常时效断货 10/29–11/11(6天)，悲观时效断货 11/04–11/26(15天),09/24–11/08(32天),220,90,50,50,50,50,50,50,50,50,50,90,90,90,90,90,80,1290,320,28767,438.6,16件/箱；新品冲高中（昨日11件），可售仅够3天，9/24起断货到10月中，A6救不了
TZH,TR-IRWP-42,4Pcs2IN黑垫高块,B0H4GSWH3T,132,0,9月1.0 / 11月1.1 / 12月1.3 / 1月2.0 / 3月1.2,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,,,,,30,30,20,,,,20,20,20,,30,170,40,1945,69.0,30件/箱；walking pad 1月热度是12月的7倍
TZH,TR-IRWP-2323,2Pcs3IN黑垫高块,B0H4GQMV11,283,135,9月11.0 / 11月12.1 / 12月14.3 / 1月22.0 / 3月13.2,有必要,正常时效下 10/30–11/11(13天) 仍会断货（缺约 146 件），只有 9/26 这班海运赶得上：建议 9/26 带 470 件、10/3 再带 140 件（悲观时效+15天安全线口径；若只按正常时效补缺口，最少 150 件）；10/22–10/25(4天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货；若无现货、改从 10/10 起发：正常时效断货 10/30–11/11(13天)，悲观时效断货 10/29–11/26(25天),10/22–11/12(18天),470,140,140,140,120,120,110,160,150,110,100,160,150,150,150,150,150,2670,430,26166,480.6,近7天12.9件/天加速中；1月健身季×2
TZH,TR-IRWP-43,4Pcs3IN黑垫高块,B0H4GRQNW5,127,0,9月1.0 / 11月1.1 / 12月1.3 / 1月2.0 / 3月1.2,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,,,,20,20,20,,20,20,,,20,20,20,20,180,40,3132,64.8,30件/箱
TZH,TR-Y10Chain,YZ10链条(Yozma IN10),B0H8M2M3PP,74,0,9月2.7 / 11月2.4 / 12月2.2 / 1月2.2 / 3月3.0,有必要,正常时效下 10/29–11/11(14天) 仍会断货（缺约 35 件），只有 9/26 这班海运赶得上：建议 9/26 带 100 件、10/3 再带 30 件（悲观时效+15天安全线口径；若只按正常时效补缺口，最少 40 件）；10/16–10/28(13天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货；若无现货、改从 10/10 起发：正常时效断货 10/29–11/11(14天)，悲观时效断货 10/29–11/26(29天),10/16–11/12(28天),100,30,20,,,,,20,30,20,,50,50,40,40,40,40,480,170,14568,672.0,1.4kg/件重货；无在途，10月中断货；越野车冬季转淡春季旺
TZH,TR-3DPCI,100Pcs触发器(3D打印),B0H7SJHR4W,55,600,9月4.8 / 11月7.2 / 12月7.8 / 1月8.4 / 3月6.6,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,09/30–10/06(7天),,,50,50,50,50,50,50,50,50,40,80,80,80,80,70,70,900,270,13950,153.0,断货中；3D打印机黑五/圣诞是全年最热，节后新机带动
TZH,TR-COP3L,CO3L内胆(Cuckoo),B0H7JL7WTR,24,112,9月2.0 / 11月2.3 / 12月2.4 / 1月2.6 / 3月2.2,建议带(保险),正常时效下 10/29 落地后不断货，但在途一晚到就会跌破安全线：有现货则 9/26 带 50 件、10/3 再带 20 件；若无现货、改从 10/10 起发：正常时效不断货，悲观时效断货 11/25–11/26(2天),10/01–10/03(3天),50,20,20,,20,20,20,20,20,20,,30,30,30,30,30,30,390,100,10803,351.0,16件/箱
TZH,TR-TGP3L,TG3L内胆(Tiger),B0H7JQCJ61,0,288,9月2.4 / 11月3.4 / 12月3.6 / 1月3.9 / 3月3.3,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带；09/19–09/26(8天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货,09/19–10/03(15天),,,30,20,20,30,20,30,30,20,20,40,40,40,40,40,40,460,150,11822,230.0,16件/箱；断货中
TZH,JR-DS,12PCS玩偶支架(Labubu),B0FL2CZBH4,438,410,9月7.0 / 11月7.0 / 12月8.0 / 1月8.4 / 3月6.0,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,30,40,40,40,40,30,40,40,40,70,70,70,70,70,60,750,230,20925,141.8,90件/箱；labubu热度同比冷300倍，销量从1月19件/天降到7件/天，只按圣诞后小峰补，不放量
TZH,TR-IKALDOS-LightGrey,浅灰毛毡套(IKEA Alex),B0H6XH6KNV,3,200,9月1.8 / 11月2.2 / 12月2.4 / 1月3.3 / 3月2.2,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带；09/20–10/06(17天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货,09/20–10/13(24天),,,,,30,20,20,20,20,20,20,30,30,30,30,20,20,310,100,2790,,【利润红旗，本次按正常量算】断货中；利润表不完整，成本按采购金额9元；1月整理季×1.5
TZH,TR-IKALDOS-DeepGrey,深灰毛毡套(IKEA Alex),B0H6XH6RLN,2,200,9月2.0 / 11月2.5 / 12月2.8 / 1月3.8 / 3月2.5,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带；09/20–10/06(17天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货,09/20–10/13(24天),,,30,20,20,20,20,20,20,20,20,40,30,30,30,30,30,380,120,3420,,断货中；成本按采购金额9元
TZH,TR-VPPStrap,VPP斜挎带(Veto Pro Pac),B0H6V2TXYM,52,392,9月2.8 / 11月3.9 / 12月3.3 / 1月3.9 / 3月3.5,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,,,,20,20,20,20,30,20,50,40,40,40,40,40,380,160,6221,95.0,60件/箱（运营备注可能）；断货中
TZH,TR-BJGTST,BJ黑餐盘(Baby Jogger GT2),B0H6TTFPPQ,25,268,9月2.5 / 11月2.5 / 12月2.2 / 1月2.5 / 3月2.6,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带；09/29–10/06(8天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货,09/29–10/13(15天),,,,,,,,,,30,30,40,40,30,30,30,30,260,110,5044,160.7,可售仅够6天，9/25-10/10有断货缺口
TZH,TR-HOT,2PCSHD扭盖器(Hydrojug),B0H5RKCN5B,259,150,9月4.0 / 11月4.8 / 12月5.2 / 1月5.6 / 3月4.0,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,40,40,40,40,40,40,40,40,30,60,50,50,50,50,50,660,180,4066,66.0,Hydrojug黑五礼品+新年饮水，12-1月×1.3-1.4
TZH,TR-4WBlock,4Pcs黑垫高块,B0H4GTCBH2,47,100,9月1.2 / 11月1.3 / 12月1.6 / 1月2.4 / 3月1.4,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,,,,20,40,20,20,,,20,20,20,20,20,20,220,40,1144,44.0,1月健身季×2
TZH,TR-8WBlock,8Pcs黑垫高块,B0H4GWDVHD,321,24,9月1.6 / 11月1.8 / 12月2.1 / 1月3.2 / 3月1.9,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,,,,,,,,,,30,30,20,20,20,20,140,60,1176,51.8,1月健身季×2
TZH,TR-KPHolder,8Pcs4色KPOP斜挎带,B0H4GMWHNQ,499,0,9月1.3 / 11月1.4 / 12月1.8 / 1月1.7 / 3月1.6,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,,,,,,,,,,,,,,,,0,,0,0.0,库存够270天，本期不补；10/13 KATSEYE巡演开始后复核
TZH,TR-HydrojugLid-Cream,2Pcs米白HDJ瓶盖,B0H5W4HJGM,216,60,9月3.5 / 11月4.2 / 12月4.5 / 1月4.9 / 3月3.5,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,150,50,30,30,30,30,30,30,30,50,40,40,40,40,40,660,160,6930,151.8,
TZH,TR-HydrojugLid-NavyBlue,2Pcs深蓝HDJ瓶盖,B0H5QB58R6,48,0,9月0.5 / 11月0.6 / 12月0.7 / 1月0.7 / 3月0.5,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,20,,,,20,,,,20,,,,,20,20,100,20,1050,23.0,慢销色
TZH,TR-HydrojugLid-Pink,2Pcs粉HDJ瓶盖,B0H5QCYCV4,167,64,9月6.5 / 11月7.8 / 12月8.5 / 1月9.1 / 3月6.5,有必要,正常时效下 10/29–11/11(14天) 仍会断货（缺约 106 件），只有 9/26 这班海运赶得上：建议 9/26 带 300 件、10/3 再带 100 件（悲观时效+15天安全线口径；若只按正常时效补缺口，最少 110 件）；10/24–10/28(5天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货；若无现货、改从 10/10 起发：正常时效断货 10/29–11/11(14天)，悲观时效断货 10/29–11/26(29天),10/24–11/12(20天),300,100,60,50,50,50,50,50,50,50,50,90,90,80,80,80,80,1360,290,14280,312.8,主力色，可售仅够25天
TZH,TR-HydrojugLid-Black,2Pcs黑HDJ瓶盖,B0H4BBYVR9,77,0,9月1.2 / 11月1.4 / 12月1.6 / 1月1.7 / 3月1.2,建议带(保险),正常时效下 10/29 落地后不断货，但在途一晚到就会跌破安全线：有现货则 9/26 带 50 件、10/3 再带 20 件；若无现货、改从 10/10 起发：正常时效不断货，悲观时效断货 11/18–11/26(9天),无,50,20,20,,,,20,20,,20,,20,,20,20,20,20,250,50,2625,57.5,
TZH,TR-SCRPFan,4色风扇叶(Snap Circuits),B0H45JL95Q,155,101,9月1.3 / 11月1.6 / 12月2.1 / 1月2.6 / 3月1.3,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,,,,,,,,20,30,20,,,30,20,20,140,60,616,7.0,snap circuits圣诞前热度6倍，替换件峰值在12月底-1月
TZH,TR-BNC13M,2Pcs针绣画布,B0H36VYNDC,376,0,9月6.0 / 11月8.4 / 12月9.0 / 1月13.2 / 3月9.6,有必要,正常时效下 11/10–11/11(2天) 仍会断货（缺约 12 件），只有 9/26 这班海运赶得上：建议 9/26 带 330 件、10/3 再带 100 件（悲观时效+15天安全线口径；若只按正常时效补缺口，最少 20 件）；若无现货、改从 10/10 起发：正常时效断货 11/10–11/11(2天)，悲观时效断货 11/10–11/26(17天),11/10–11/12(3天),330,100,80,80,70,70,70,80,90,70,70,110,110,110,110,110,100,1760,270,39424,318.6,无在途；needlepoint canvas 1月热度是9月的3倍，Q1是全年最旺
TZH,TR-EBPRP,EU配件套装(eufy吸奶器),B0H36NTQY2,516,270,9月6.5 / 11月6.5 / 12月5.9 / 1月6.5 / 3月6.8,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,,,30,30,30,40,40,40,40,90,80,80,80,80,80,740,310,27232,144.3,54件/箱；近7天8件/天上升
TZH,TR-SDSD,2Pcs洗洁精瓶,B0H36KW9N8,58,720,9月8.4 / 11月10.5 / 12月9.5 / 1月12.1 / 3月11.0,无必要(10/3可选),正常与悲观时效下都不断货，只是 11 月中旬会短暂低于 15 天安全线：9/26 不用带，10/3 带 110 件（有现货再带，没有不必强凑）；若无现货、改从 10/10 起发：正常时效不断货，悲观时效不断货,09/25–09/27(3天),,110,90,90,80,80,80,80,90,70,70,140,140,140,140,140,140,1680,480,14952,168.0,54件/箱；断货中，在途9/28起回货
TZH,TR-GF165,16PcsG165表套装(Garmin),B0H366YPGD,82,300,9月3.7 / 11月4.4 / 12月5.6 / 1月6.7 / 3月4.4,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,10/11–10/13(3天),,,50,50,50,50,40,40,40,40,50,60,50,50,50,50,50,720,160,15264,28.8,【利润红旗，本次按正常量算】手表黑五/圣诞礼品→配件12-1月×1.5-1.8；利润表净利仅0.40
TZH,TR-EBPC,EU白收纳手提盒(eufy),B0GZW586ZF,5,774,9月6.8 / 11月8.5 / 12月7.7 / 1月8.5 / 3月8.9,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带；09/19–10/11(14天) 的缺口在 10/29 之前，任何海运都赶不上，只能等在途回货,09/19–10/18(22天),,,30,30,40,40,50,50,50,50,50,110,110,110,110,100,100,1030,400,27480,206.0,【利润红旗，本次按正常量算】20件/箱；断货中；利润表净利仅0.71（头程10元/件偏高）
TZH,TR-CardGSK,卡牌运输套装,B0GYF9RK5Y,177,448,9月6.5 / 11月6.2 / 12月6.5 / 1月7.8 / 3月7.8,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,50,50,50,50,50,50,50,50,50,100,100,90,90,90,90,1010,290,22584,460.6,16件/箱；card grading 1-5月比Q4热
TZH,Tr-ZoinpotT10,Zo3L锅(象印),B0GY94BD4W,85,352,9月4.5 / 11月5.2 / 12月5.4 / 1月5.9 / 3月5.0,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,50,40,40,40,40,40,40,40,40,70,70,70,60,60,60,760,220,21212,532.0,16件/箱；8月起翻倍增长
TZH,TZH-POT5L,150SBAM5L锅(Aroma 5Qt),B0GWFHTRCX,134,504,9月10.0 / 11月12.0 / 12月12.5 / 1月12.5 / 3月10.5,建议带(保险),正常时效下 10/29 落地后不断货，但在途一晚到就会跌破安全线：有现货则 9/26 带 350 件、10/3 再带 60 件；若无现货、改从 10/10 起发：正常时效不断货，悲观时效断货 11/14–11/26(5天),10/16–10/28(6天),350,60,100,80,70,80,80,70,70,80,70,140,140,130,130,130,130,1910,480,60738,1050.5,12件/箱；营收第一（$6.6k/30天），可售仅10件，近7天11.7件/天
TZH,JR-KpSTAND,6PcsKpop支架,B0FQNYHWP1,168,100,9月3.2 / 11月3.5 / 12月4.5 / 1月4.2 / 3月3.5,无必要,现有+在途可撑到 10/10 新货落地，9/26 不用带,无,,,110,50,30,30,,30,30,30,30,40,40,40,40,40,40,580,140,8804,69.6,kpop lightstick 12-4月比夏季热一倍
TZH,每周合计件数,,,,,,,,,1870,670,1220,930,930,1000,1040,1110,1090,1060,990,1830,1740,1720,1740,1700,1700,22340,5850,419129,6548.7,单周件数=该周六交凯琦的总件数
TZH,每周采购金额(元),,,,,,,,,36129,11230,20989,16359,17213,18478,18589,20080,20205,20003,18302,35340,34173,33503,33356,32781,32398,,,,,无采购成本的SKU未计入
TZH,每周净重(kg),,,,,,,,,677.1,205.5,336.3,227.5,234.5,261.2,277.8,311.1,312.2,307.6,250.0,551.6,544.2,519.7,514.2,506.5,511.6,,,,,净重参考，不含外箱；A6 100KG起收（按计费重）
TZH,每周SKU数,,,,,,,,,8,9,21,17,20,23,25,26,24,26,24,27,26,28,29,29,30,,,,,
