店铺,ASIN,FNSKU,商品标题,产品中文名,销量,销售额,订单数,日均销量,Vine赠品销量(已扣除),可售,入库中,不可售,预留,FBA总量,包装尺寸1(长×宽×高cm),包装尺寸2(长×宽×高cm),包装类型1,包装类型2,单品重量(g),图片URL,产品图片1,产品图片2,销售数据截止,库存数据截止
TZH-主店二号,B0FG2XQ7G3,X004QS94MD,Hard Protective Case for Ray-Ban Meta Smart Glasses – Compatible with Wayfarer/Skyler/Headliner & Charging Box – Durable Travel Eyewear Case with Soft Interior & Wrist Strap (Black),雷朋眼镜盒保护盒,0,0.00,0,0.00,0,0,0,0,3,3,,,,,150,https://m.media-amazon.com/images/I/41fJzzX5QOL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0FL2BPTB5,X004SD22LB,"6 Pack Doll Stand Holder Compatible with 6.8 Inch Dolls, Not Include Dolls",TZH-6PCS玩偶支架,100,775.03,99,3.33,0,220,0,0,5,225,10×7.5×7,,,,140,https://m.media-amazon.com/images/I/319FFwQ9yTL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0FL2CZBH4,X004SDDFTJ,"12 Pack Doll Stand Holder Compatible with 6.8 Inch Dolls, Not Include Dolls",TZH-12PCS玩偶支架,436,5546.73,360,14.53,0,557,115,0,116,788,14×7.5×7,,,,188.6,https://m.media-amazon.com/images/I/319FFwQ9yTL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0FPR3XSX2,X004TR4Z1V,"6 Pack Universal Two-Way Radio Holster with Adjustable Shoulder Holster Strap, Heavy Duty Walkie Talkie Pouch for Security, Outdoor Hiking, Firefighter & Construction, Hands-Free Radio Holder Case",6Pcs无线电收纳,0,0.00,0,0.00,0,0,0,0,0,0,23×15×9,,,,400,https://m.media-amazon.com/images/I/41HUbKSVZkL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0FQNYHWP1,X004U1XJ1X,JUMRIM 6 Pack Kpop Lightstick Stand Holder,6PcsKpop支架,94,929.07,86,3.13,0,168,100,0,5,273,13×8×6,,飞机盒,,120,https://m.media-amazon.com/images/I/31emn58XspL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0FRG9XKP8,X004UBMFGX,"JUMRIM Racing Throttle Handle with Rolling Bearing, Black PA Material, Electric Bike Throttle Grips with Cable for Sur Ron Light Bee X, S, X160, X260",S油门把手,2,25.98,2,0.07,0,0,0,0,1,1,17×9×7,,,,240,https://m.media-amazon.com/images/I/41RCYgYyKgL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GTPYQY5Z,X0051PSIEF,"Trnjctayr 2 Pack Nylon Strap Bands Compatible with Hume Band, Adjustable Braided Replacement Strap for Hume Health Tracker, Breathable Sport Loop Wristbands for Men Women",,3,11.97,3,0.10,2,3,0,0,0,3,8×18×0.5,,,,10,https://m.media-amazon.com/images/I/512OUzE4OzL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVWD8KR9,X00528GGEZ,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Purple),,1,0.00,1,0.03,0,1,0,0,11,12,28×7×1.8,15×8×1.7,,,67,https://m.media-amazon.com/images/I/31saJr94ghL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVWF66T8,X00528QE65,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Pink),,0,0.00,0,0.00,0,0,0,0,0,0,28×7×1.8,15×8×1.7,,,67,https://m.media-amazon.com/images/I/31iQPOfKJHL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVWKW4Y1,X00528NAWV,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Green),,0,0.00,0,0.00,0,0,0,0,0,0,28×7×1.8,15×8×1.7,,,67,https://m.media-amazon.com/images/I/31iQPOfKJHL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVWPCJRW,X00528NGCP,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Stone Grey),,1,5.99,1,0.03,0,2,0,0,8,10,28×7×1.8,15×8×1.7,,,67,https://m.media-amazon.com/images/I/31w3IV3V8jL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVWQK5BT,X00528HXQZ,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Sky Blue),,0,0.00,0,0.00,0,0,0,0,0,0,28×7×1.8,15×8×1.7,,,67,https://m.media-amazon.com/images/I/31iQPOfKJHL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVXGBY1W,X00528GTSX,Silicone Replacement Leak-Proof Set Compatible with Ninja BlendBOSS Smoothie Blender Tumbler | 3-in-1 Protective Boot & Straw Stopper & Spill-Proof Lid Seal Ring for 26oz Travel Tumbler (Dark Blue),,2,11.98,2,0.07,0,1,0,0,10,11,28×7×1.8,15×8×1.7,,,67,https://m.media-amazon.com/images/I/31iQPOfKJHL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVY49NQG,X005290VEP,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Light Gray)",,0,0.00,0,0.00,1,2,0,0,9,11,28×7×1.8,15×8×1.7,,,95,https://m.media-amazon.com/images/I/31TQze95JwL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVY4B31K,X00529923B,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Green)",,0,0.00,0,0.00,0,0,0,0,0,0,28×7×1.8,15×8×1.7,,,95,https://m.media-amazon.com/images/I/41Vg1ysYlEL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVY4DFMJ,X00529922R,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Pink)",,0,0.00,0,0.00,0,0,0,0,0,0,28×7×1.8,15×8×1.7,,,95,https://m.media-amazon.com/images/I/41Vg1ysYlEL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVY78V83,X005293F6B,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Purple)",,0,0.00,0,0.00,0,3,0,0,10,13,28×7×1.8,15×8×1.7,,,95,https://m.media-amazon.com/images/I/31Rhw8tVQiL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVYB51LC,X005298ZV1,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Sky Blue)",,0,0.00,0,0.00,0,0,0,0,0,0,28×7×1.8,15×8×1.7,,,95,https://m.media-amazon.com/images/I/41Vg1ysYlEL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVYT1NGB,X005293CFZ,"6 Pack Replacement Silicone Seal & Stopper Set Compatible with Ninja BlendBOSS Blender Tumbler 26OZ, 3 Leak-Proof Gaskets & 3 Spill-Proof Lid Stoppers, Food-Grade BPA-Free O-Ring Parts (Dark Blue)",,0,0.00,0,0.00,0,1,0,0,9,10,28×7×1.8,15×8×1.7,,,95,https://m.media-amazon.com/images/I/41Vg1ysYlEL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GVYTYDKY,X0052C7LNB,"8 Pack Keychain Cap Compatible with Summer Fridays 0.5 Oz Lip Balm, Snug Fit Silicone Cap Cover with Key Ring, Lip Gloss Keychain for Women Purse, Backpack and Travel Accessories (No Lip Balm)",,6,24.95,5,0.20,0,1,0,0,22,23,,,,,120,https://m.media-amazon.com/images/I/41vPGERAwTL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GWDQVFQ2,X0052FWHR3,"Stainless Steel Inner Pot Compatible with Aroma Rice Cooker, 2Qt",,85,1678.27,84,2.83,0,0,184,4,17,205,19×19×11,,,,340,https://m.media-amazon.com/images/I/31F-WbY9X9L.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GWFHTRCX,X0052FXRQN,"Stainless Steel Inner Pot Compatible with AROMA Rice Cooker, 5Qt",,145,3754.68,144,4.83,0,1,328,1,23,353,24×15×24,,瓦楞盒,,550,https://m.media-amazon.com/images/I/31FDnrjImKL.jpg,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-08-07/e00e8a28-8f25-448b-adc5-056522e1e41d.jpg,,2026-08-09,2026-08-10T06:00:03.234Z
TZH-主店二号,B0GWHHR895,X0052GBZ1L,Gripper Seat Cover Compatible with Yozma IN10 Electric Dirt Bike(Red),,14,279.86,14,0.47,1,135,20,0,44,199,23×9×4,,,,122,https://m.media-amazon.com/images/I/41TBBuQsjCL.jpg,,,2026-08-09,2026-08-10T06:00:03.234Z
